Service Name;Service Link;Description;Short Description;Other Links;Date;Mini Description
Noise notification;https://www.espoo.fi/en/services/noise-notification;"Temporary activity causing especially disturbing noise or vibration must be reported to the Environment and Building Control Department.

Temporary activity causing especially disturbing noise or vibration must always be announced in advance to residents, care and educational institutions and other parties that may be affected within the scope of the noise or vibration.

According to the Environmental Protection Act, the operator must also notify the Environment and Building Control Department in writing.";Temporary activity causing especially disturbing noise or vibration must be reported to the Environment and Building Control Department.;"Environmental protection services: https://www.espoo.fi/en/unit/66794; Submit a notification: https://www.espoo.fi/en/housing-and-building/environmental-protection/environmental-supervision/environmental-supervision-permits-notifications-and-registration#section-15211; Environmental supervision: https://www.espoo.fi/en/housing-and-building/environmental-protection/environmental-supervision";13.10.2025;Operators must report and pre-announce temporary, unusually disturbing noise or vibration to the Environment and Building Control Department and affected residents and institutions, with written notification as required by the Environmental Protection Act.
Ohjaamotalo - One-Stop Guidance Centre for young people;https://www.espoo.fi/en/services/ohjaamotalo-one-stop-guidance-centre-young-people;"The Ohjaamotalo One-Stop Guidance Centre is a service point for young adults under 30 years of age and living in Espoo.

Hello, all young Espoo and Kauniainen residents under the age of 30! 

More than 60 different professionals work in the Ohjaamotalo to support and guide you. Behind one door you will find help for your different needs and life situations. The Ohjaamotalo offers both individual guidance and targeted group activities.

You can get information and help from the Ohjaamotalo
- study opportunities
- working life, job search and livelihood
- housing, daily management and well-being
- leisure opportunities

At Ohjaamotalo's Starttipiste, you can get help without an appointment during opening hours. Starttipiste is open in Leppävaara on Mondays, Tuesdays, Thursdays, and Fridays from 12-4 PM and at Iso Omena Service Point on Wednesdays from 12-4 PM. You can also reach us via social media, phone, or Discord. At Starttipiste, you can remain anonymous if you wish.

All our services are voluntary and free for you.";The Ohjaamotalo One-Stop Guidance Centre is a service point for young adults under 30 years of age and living in Espoo.;"Ohjaamotalo: https://www.espoo.fi/en/unit/57368; Ohjaamotalo, Starttipiste in Leppävaara: https://www.espoo.fi/en/unit/57369; Ohjaamotalo's Starttipiste, Iso Omena Service Centre: https://www.espoo.fi/en/unit/59425; Ohjaamotalo: https://www.espoo.fi/en-US/Youth/Information_councelling_and_help/Ohjaamotalo";13.10.2025;Ohjaamotalo is a free, one-stop guidance centre for young people under 30 in Espoo (also serving Kauniainen) that provides personalised guidance and group activities across study, work, housing and daily life, well-being, and leisure, with drop-in Starttipiste access and multiple contact options.
Oil tank, removed from use;https://www.espoo.fi/en/services/oil-tank-removed-use;"The Environment Department must be contacted about the handling of an underground oil tank removed from use.

According to Section 11 of the environmental protection regulations of the City of Espoo, the owner or holder of an oil, fuel or other chemical tank must remove the tank along with its pipelines from the ground and have it cleaned before its removal. 

The Environment Department may grant an exception from the obligation to remove a decommissioned oil tank from the ground, if its removal is technically very difficult or it causes damage to other property. 

The Environment Department must be contacted about leaving a tank in place as early as possible in order to assess the requirements for granting an exception.";The Environment Department must be contacted about the handling of an underground oil tank removed from use.;Environmental protection services: https://www.espoo.fi/en/unit/66794;13.10.2025;Contact Espoo’s Environment Department to remove an unused underground oil tank (and its pipelines) and have it cleaned, or to apply for an exception to leave the tank in the ground.
Open playgrounds with staff for schoolchildren;https://www.espoo.fi/en/services/open-playgrounds-staff-schoolchildren;The open playgrounds with staff offer the possibility for morning and afternoon activities for young school children. During the school year, a snack subject to a fee is offered to the children. Further information is available from the instructors of the residents' parks.;The open playgrounds with staff offer the possibility for morning and afternoon activities for young school children. During the school year, a snack subject to a fee is offered to the children. Further information is available from the instructors of the residents' parks.;"Karakallio residents' park: https://www.espoo.fi/en/unit/20324; Kivenlahti residents' park: https://www.espoo.fi/en/unit/20348; Leppävaara residents' park: https://www.espoo.fi/en/unit/20325; Mankkaa residents' park: https://www.espoo.fi/en/unit/20236; Matinkylä residents' park: https://www.espoo.fi/en/unit/20267; Olari residents' park: https://www.espoo.fi/en/unit/20268; Perkkaa residents' park: https://www.espoo.fi/en/unit/20326; Pisa residents' park: https://www.espoo.fi/en/unit/20352; Tapiola residents' park: https://www.espoo.fi/en/unit/20235; Viherkallio residents' park: https://www.espoo.fi/en/unit/20327";13.10.2025;Supervised open playgrounds for schoolchildren offer morning and afternoon activities, with optional snacks available for a fee during the school year.
Open vacancies at the City of Espoo;https://www.espoo.fi/en/services/open-vacancies-city-espoo;"Open vacancies at the City of Espoo and information about the city as an employer.

The City of Espoo's recruitment services are centrally responsible for the recruitment of the city's personnel in cooperation with the unit managers. Recruitment services also develop the city's employer image and manage recruitment marketing, for example, by participating in various recruitment fairs and cooperating with educational institutes in various fields. The city mainly uses Seure Henkilöstöpalvelut Oy for the recruitment of short-term temporary employees.
You can search for open vacancies and find additional information about the city as an employer and the personnel benefits at the City of Espoo in the address espoonrekry.fi.";Open vacancies at the City of Espoo and information about the city as an employer.;"Rekrytointipalvelut: https://www.espoo.fi/en/unit/64078; Open Vacancies : https://www.espoonrekry.fi";13.10.2025;Provides access to current job openings at the City of Espoo and information about the city as an employer, including recruitment processes, employer branding, and employee benefits.
Open-air pools;https://www.espoo.fi/en/sports-and-nature/outdoor-exercise-facilities/open-air-pools;"There is one open-air pool in Espoo, located at the Leppävaara swimming hall.

The Leppävaara outdoor swimming pool is Espoo's summer oasis. It is a popular place among swimmers on sunny days, but the warm pool water ensures an enjoyable experience in colder weather too. The outdoor swimming pool is located right next to the indoor swimming pool. In Tapiola, there is also a wading pool for children.";There is one open-air pool in Espoo, located at the Leppävaara swimming hall.;"Leppävaara outdoor swimming pool: https://www.espoo.fi/en/unit/48917; Tapiola wading pool: https://www.espoo.fi/en/unit/62213";13.10.2025;Espoo's Leppävaara outdoor pool offers a popular open-air swimming venue next to the indoor pool, usable on sunny summer days and enjoyable in cooler weather.
Our park;https://www.espoo.fi/en/services/our-park;"Would you like to take care of green areas in your neighbourhood and get incidental exercise by yourself or together with other interested people? In Our Park activities, you can help keep your neighbourhood in better shape than the city has resources to do.

If you are interested in taking care of your local green areas, please visit Espoon sähköiset asiointipalvelut (extrernal link) (only in Finnish or Swedish) and click the ""Yleisten alueiden luvat"" (Public area permits) button. In your message, tell us what you would like to do and include a few photos of the area. On the basis of your proposal, we can draw up a maintenance agreement describing the maintenance principles for the area in more detail. If you want to know more about Our Park, please e-mail us at meidanpuisto@espoo.fi.";Would you like to take care of green areas in your neighbourhood and get incidental exercise by yourself or together with other interested people? In Our Park activities, you can help keep your neighbourhood in better shape than the city has resources to do.;Urban Environment Customer Service: https://www.espoo.fi/en/unit/63749;13.10.2025;Our Park is a community volunteer program that enables residents to help maintain local green spaces, gain incidental exercise, and obtain a maintenance agreement and city permits by submitting proposals with photos through the city’s online service.
Outdoor Recreation Areas;https://www.espoo.fi/en/sports-and-nature/explore-nature/outdoor-recreation-areas;Roaming, camping, picking berries, listening to the sounds of nature, enjoying yourself… In addition to versatile terrains, the outdoor recreation areas also contain cooking shelters and places to build a campfire.;Roaming, camping, picking berries, listening to the sounds of nature, enjoying yourself… In addition to versatile terrains, the outdoor recreation areas also contain cooking shelters and places to build a campfire.;Kattilajärvi Recreation Area: https://www.espoo.fi/en/unit/53485;13.10.2025;Outdoor Recreation Areas provide versatile terrain for camping, roaming, berry-picking, and enjoying nature, with cooking shelters and campfire sites.
Outdoor gyms;https://www.espoo.fi/en/sports-and-nature/outdoor-exercise-facilities/outdoor-gyms;Espoo’s outdoor gyms are well suited for anyone irrespective of their level of fitness, and they feature a wide range of equipment. For example, the Keski-Espoo sports park includes pull-up equipment, a dip bar, a leg and chest press, and an abdominal and back muscle machine. The outdoor gyms are free of charge and open 24 hours a day all year round.;Espoo’s outdoor gyms are well suited for anyone irrespective of their level of fitness, and they feature a wide range of equipment. For example, the Keski-Espoo sports park includes pull-up equipment, a dip bar, a leg and chest press, and an abdominal and back muscle machine. The outdoor gyms are free of charge and open 24 hours a day all year round.;"Espoonlahti Sports Park / Outdoor gym: https://www.espoo.fi/en/unit/68552; Juvanpuisto outdoor gym: https://www.espoo.fi/en/unit/75313; Leppävaara lido / Beach volleyball court 1: https://www.espoo.fi/en/unit/54031; Leppävaara Sports park / Outdoor Gym Container: https://www.espoo.fi/en/unit/53751; Metsämaa outdoor gym: https://www.espoo.fi/en/unit/67797; Oittaa beach / Outdoor gym: https://www.espoo.fi/en/unit/63352; Saarenpelto outdoor gym: https://www.espoo.fi/en/unit/66836";13.10.2025;Espoo's outdoor gyms provide free, 24/7 access to a wide range of fitness equipment for people of all fitness levels.
Outdoor routes;https://www.espoo.fi/en/sports-and-nature/outdoor-recreation-routes/outdoor-routes;There are several outdoor routes in Espoo.;There are several outdoor routes in Espoo.;"Brobacka - Oittaa outdoor recreation route: https://www.espoo.fi/en/unit/54077; Karakallio - Leppävaara outdoor recreation route: https://www.espoo.fi/en/unit/54082; Karhusuo - Nupuri outdoor recreation route (GPS): https://www.espoo.fi/en/unit/54088; Kauklahti - Gumböle outdoor recreation route (GPS): https://www.espoo.fi/en/unit/54089; Keskuspuisto - Latokaski outdoor recreation route: https://www.espoo.fi/en/unit/54069; Kivenlahti - Latokaski outdoor recreation route: https://www.espoo.fi/en/unit/54317; Latokaski - Espoon keskus outdoor recreation route: https://www.espoo.fi/en/unit/54314; Oittaa - Pirttimäki outdoor recreation route: https://www.espoo.fi/en/unit/53557; Olari - Tapiola outdoor recreation route: https://www.espoo.fi/en/unit/54318; Puolarmaari - Suomenoja outdoor recreation route: https://www.espoo.fi/en/unit/54349; Tapiola - Turunväylä outdoor recreation route: https://www.espoo.fi/en/unit/54327; Ullanmäki - Keskuspuisto outdoor recreation route: https://www.espoo.fi/en/unit/53550";13.10.2025;Outdoor routes offers several outdoor routes to explore in Espoo.
Outreach youth work;https://www.espoo.fi/en/services/outreach-youth-work;"Outreach youth work helps those between 15-30 years of age who are outside education or the job market.

We operate in Espoo area, offering young people between 15-28 years of age guidance and support when they need it. 

Our goal is to meet you as an individual and to provide you with an opportunity to get safe and confidential help from an adult. We will work with you to find answers to any questions you might have. We will also help you to reach the services you need.

Our primary mission is to help young people under 29 years of age who are outside education or the labour market. In addition, we offer support and help in finding the various services. Outreach youth work is always free of charge and completely voluntary for you.";Outreach youth work helps those between 15-30 years of age who are outside education or the job market.;"Ohjaamotalo: https://www.espoo.fi/en/unit/57368; Ohjaamotalo, Starttipiste in Leppävaara: https://www.espoo.fi/en/unit/57369; Ohjaamotalo's Starttipiste, Iso Omena Service Centre: https://www.espoo.fi/en/unit/59425; Youth Services: https://www.espoo.fi/en/unit/20046";13.10.2025;Outreach youth work offers free, confidential, one-on-one guidance and support to young people aged 15–29 in Espoo who are outside education or the job market, helping them access the services they need.
Outsourced day care centres in Espoon keskus;https://www.espoo.fi/en/childcare-and-education/early-childhood-education/outsourced-day-care-centres-espoon-keskus;All outsourced Finnish language day care centres in the Espoon keskus area are listed below on this page.;All outsourced Finnish language day care centres in the Espoon keskus area are listed below on this page.;"Päiväkoti Lintukoto: https://www.espoo.fi/en/unit/20384; Päiväkoti Nallentupa: https://www.espoo.fi/en/unit/54941; Pilke luontopäiväkoti Pihlajarinne: https://www.espoo.fi/en/unit/20382";13.10.2025;This page lists all outsourced Finnish-language day care centres in Espoon keskus.
Outsourced day care centres in Espoonlahti;https://www.espoo.fi/en/childcare-and-education/early-childhood-education/outsourced-day-care-centres-espoonlahti;All outsourced Finnish language day care centres in the Espoonlahti area are listed below on this page.;All outsourced Finnish language day care centres in the Espoonlahti area are listed below on this page.;"Norlandia Kurkihirsi: https://www.espoo.fi/en/unit/52449; Päiväkoti Leikkis: https://www.espoo.fi/en/unit/52448; Pilke liikuntapäiväkoti Martinmäki: https://www.espoo.fi/en/unit/52447";13.10.2025;This page provides a complete listing of outsourced Finnish-language day care centers in the Espoonlahti area.
Outsourced day care centres in Leppävaara;https://www.espoo.fi/en/childcare-and-education/early-childhood-education/outsourced-day-care-centres-leppavaara;All outsourced Finnish language day care centres in the Leppävaara area are listed below on this page.;All outsourced Finnish language day care centres in the Leppävaara area are listed below on this page.;"Everstinkadun päiväkoti: https://www.espoo.fi/en/unit/20328; Lippajärven montessoripäiväkoti: https://www.espoo.fi/en/unit/52969; Montessori Lastentalo: https://www.espoo.fi/en/unit/48358; Pilke Sinipilvi: https://www.espoo.fi/en/unit/44185";13.10.2025;This page lists all outsourced Finnish-language day care centres in the Leppävaara area.
Outsourced day care centres in Matinkylä-Olari;https://www.espoo.fi/en/childcare-and-education/early-childhood-education/outsourced-day-care-centres-matinkyla-olari;All outsourced Finnish language day care centres in the Matinkylä-Olari area are listed below on this page.;All outsourced Finnish language day care centres in the Matinkylä-Olari area are listed below on this page.;"Espoon Montessori leikkikoulu: https://www.espoo.fi/en/unit/20269; Espoon Steiner Mesimarja: https://www.espoo.fi/en/unit/20270; Marjalaxin päiväkoti: https://www.espoo.fi/en/unit/20272; Muksulan päiväkoti: https://www.espoo.fi/en/unit/20275; Päiväkoti Punatulkku: https://www.espoo.fi/en/unit/20277; Papinniityn päiväkoti: https://www.espoo.fi/en/unit/20273; Tarjalaxin päiväkoti: https://www.espoo.fi/en/unit/20278";13.10.2025;This page lists all outsourced Finnish-language day care centres in the Matinkylä-Olari area.
Outsourced day care centres in Tapiola;https://www.espoo.fi/en/childcare-and-education/early-childhood-education/outsourced-day-care-centres-tapiola;All outsourced Finnish language day care centres in the Tapiola area are listed below on this page.;All outsourced Finnish language day care centres in the Tapiola area are listed below on this page.;"Espoon kielikylpypäiväkoti: https://www.espoo.fi/en/unit/20246; Keilaniemen päiväkoti: https://www.espoo.fi/en/unit/20247; Lasten montessorikoulu Laajalahti: https://www.espoo.fi/en/unit/20250; Otsolahden päiväkoti: https://www.espoo.fi/en/unit/20251; Päiväkoti Sateenkaari: https://www.espoo.fi/en/unit/20254; Päiväkoti Satusoppi: https://www.espoo.fi/en/unit/20256; Pilke Liikuntapäiväkoti Pupuna: https://www.espoo.fi/en/unit/20253";13.10.2025;This page lists all outsourced Finnish-language day care centres in the Tapiola area.
Own native language instruction;https://www.espoo.fi/en/childcare-and-education/basic-education/own-native-language-instruction;Own native language instruction is a supplementary teaching to basic education and intended for pupils living in Espoo with an immigrant background.;Own native language instruction is a supplementary teaching to basic education and intended for pupils living in Espoo with an immigrant background.;N/A;13.10.2025;Native-language instruction is a supplementary education program for pupils living in Espoo with immigrant backgrounds.
Parcelling of a plot;https://www.espoo.fi/en/services/parcelling-plot;"Building sites in the detailed plan area are created by parcelling. (A binding plot subdivision must be prepared for the area before plot parcelling). Plot parcelling becomes pending at the written application of the owner or after the National Land Survey of Finland has submitted information on the title registration of a parcel to the City Survey Department. The application can be submitted either through the electronic service (online application) or by sending it by post.

The plot parcelling process takes approximately 3 months. In urgent cases, the applicant can speed up the process by obtaining written acceptance for it from all parties. The owner must have a registration of title to the real estates or parcels that form the plot.  

The plot parcelling fee depends on the size of the plot and varies between €1,100 and €1,600. If the area of an old real estate unit or plot is the same as the area of the plot according to the plot subdivision, the plot may be registered without any work in the field. The fee for the procedure is €390. ";Building sites in the detailed plan area are created by parcelling. (A binding plot subdivision must be prepared for the area before plot parcelling);"City Surveying services: https://www.espoo.fi/en/unit/21972; Acceptance - Plot parcelling: https://static.espoo.fi/cdn/ff/xPCvDXyU0YyXiy3GsW0cScUoZ0yHaEX1jdsEQ4ad6Kk/1632725763/public/2021-09/EN%20Hyv%C3%A4ksynt%C3%A4%20_%20tontin%20lohkominen_0.pdf; Application - Cadastral procedure: https://static.espoo.fi/cdn/ff/caHRnx7WBeFcTjGHvGe_fT8wiplOdxQKnx45V1-PcwU/1632727351/public/2021-09/EN%20Kiinteist%C3%B6toimitushakemus_0.pdf; Online application (You can only submit an application in Finnish and Swedish): https://easiointi.espoo.fi/ePermit/; Cadastral procedure fee 1.1.2024: https://static.espoo.fi/cdn/ff/vjF7qqcPAW7ohiKWNsxidSX-4PwHeluNbgLIwvqL0lI/1702902535/public/2023-12/Cadastral%20proceture%20fee%201.1.2024_2.pdf";13.10.2025;Parcelling of a plot is the process of subdividing a building plot within a detailed plan area, initiated by the owner's application and completed in about three months, culminating in the plot's registration and title registration with applicable fees.
Parcelling of streets and parks ;https://www.espoo.fi/en/services/parcelling-streets-and-parks;"The public areas indicated in the detailed plan, such as streets and parks, are formed as public areas through the parcelling procedure of a public area.  

The public areas indicated in the detailed plan, such as streets and parks, are formed as public areas through the parcelling procedure of a public area. If the procedure concerns an area which the city does not already own and which has been designated as a street in the first detailed plan, the area will be transferred to the ownership of the city as part of the procedure. If the procedure concerns some other area designated as public in the detailed plan, the city must first acquire ownership of the area.";The public areas indicated in the detailed plan, such as streets and parks, are formed as public areas through the parcelling procedure of a public area.  ;"City Surveying services: https://www.espoo.fi/en/unit/21972; Urban Environment Customer Service: https://www.espoo.fi/en/unit/63749";13.10.2025;This service formalizes streets and parks as public areas through the parcelling procedure, transferring ownership to the city for streets and requiring the city to acquire ownership for other public areas.
Parcelling outside the town plan area;https://www.espoo.fi/en/services/parcelling-outside-town-plan-area-0;"As a rule, the city's permission, resolved in the City Planning Department, is required for dividing or splitting a property outside the town plan that is designated as a construction site. If the property is located in the town plan area, the parcelling of a plot is carried out, after the preparation of binding subdivision, by the Espoo Public Works Department city survey, from which the parcelling is applied for with a cadastral procedure application.

As a rule, the city's permission, resolved in the City Planning Department, is required for dividing or splitting a property outside the town plan that is designated as a construction site. The general prerequisite for the city's permission is that the requirements set on the building site are met, the maximum efficiency used in the area is not exceeded and the formation of the new building site does not cause harm to the organisation of land use or the preparation or implementation of the town plan or master plan. Application forms with instructions are available at the Environment and Technical Services customer service, they can be printed from the City of Espoo website, or the application can be submitted electronically through the electronic service for construction and land use. More detailed instructions can be found on the website of the City of Espoo.";As a rule, the city's permission, resolved in the City Planning Department, is required for dividing or splitting a property outside the town plan that is designated as a construction site. If the property is located in the town plan area, the parcelling of a plot is carried out, after the preparation of binding subdivision, by the Espoo Public Works Department city survey, from which the parcelling is applied for with a cadastral procedure application.;"City Planning Department: https://www.espoo.fi/en/unit/21969; City Surveying services: https://www.espoo.fi/en/unit/21972; Urban Environment Customer Service: https://www.espoo.fi/en/unit/63749";13.10.2025;Gives the City of Espoo’s permission to subdivide a property outside the town plan area, ensuring compliance with land-use plans and building-site requirements (with online application options).
Parking Control;https://www.espoo.fi/en/services/parking-control;"The adherence to the parking regulations is monitored.

Parking Control oversees adherence to the prohibitions and restrictions regarding the stopping, halting and parking of vehicles and the rules and regulations on the use of parking discs and issues parking tickets for incorrect parking.";The adherence to the parking regulations is monitored.;Urban Environment Customer Service: https://www.espoo.fi/en/unit/63749;13.10.2025;Parking Control monitors and enforces parking regulations, including stopping, halting, and parking restrictions and parking-disc rules, and issues tickets for violations.
